Deal_ID,Property_ID,Analysis_Date,Purchase_Price,Asking_Price,Discount_Percent,Refurb_Cost,Refurb_Level,Legal_Fees,Stamp_Duty,Survey_Fee,Finance_Costs,Bridging_Rate,Sourcing_Fee,Total_Investment,GDV,ARV,Gross_Profit,Net_Profit,ROI_Percent,Gross_Yield_Percent,Net_Yield_Percent,Monthly_Rent,Annual_Rent,Cashflow_Monthly,Strategy,Exit_Strategy,Deal_Score,Risk_Level,Investment_Rating,Status,Analyst_Notes
DA001,PL001,2024-01-08,125000,145000,13.8,18000,Light,2500,0,750,6200,0.85,4995,157445,165000,165000,7555,7555,4.8,6.1,5.2,840,10080,175,BTL,Refinance and Hold,72,Medium,Good,Analysed,Solid BTL Leeds terrace. Good yield area.
DA002,PL002,2024-01-09,152000,175000,13.1,22000,Medium,2750,1050,750,8500,0.89,4995,192045,198000,210000,5955,17955,9.4,6.5,5.6,1100,13200,285,BTL,Refinance and Hold,78,Low,Strong,Analysed,Birmingham semi with good rental demand.
DA003,PL003,2024-01-11,108000,130000,16.9,15000,Light,2200,0,600,5500,0.85,3995,135295,148000,148000,12705,12705,9.4,7.8,6.9,855,10260,265,BTL,Long-Term Hold,81,Low,Strong,Under Offer,Manchester terrace. High yield. Great deal.
DA004,PL004,2024-01-12,132000,155000,14.8,28000,Heavy,3000,580,950,7800,0.88,3995,176325,175000,195000,-1325,18675,10.6,5.9,5.0,865,10380,148,Flip,Sell After Refurb,68,Medium,Good,Analysed,Probate needs work. Flip potential good.
DA005,PL005,2024-01-14,158000,185000,14.6,12000,Cosmetic,2800,1830,750,9200,0.90,4995,189575,210000,210000,20425,20425,10.8,7.1,6.2,1150,13800,342,BTL,Refinance and Hold,85,Low,Excellent,Completed,Repossession discount. Excellent deal.
DA006,PL006,2024-01-16,76000,90000,15.6,8500,Cosmetic,1800,0,500,3800,0.85,2995,93595,108000,108000,14405,14405,15.4,10.7,9.5,680,8160,240,SA,Short-Let,88,Low,Excellent,Analysed,City centre flat. SA goldmine.
DA007,PL007,2024-01-17,238000,280000,15.0,35000,Heavy,4200,6900,1200,15000,0.92,5995,306295,315000,340000,8705,33705,11.0,5.2,4.5,1600,19200,285,BTL,Refinance and Hold,74,Low,Good,Completed,Large detached. Good long-term hold.
DA008,PL008,2024-01-18,168000,195000,13.8,20000,Medium,3000,1580,850,10500,0.90,4995,208925,220000,235000,11075,26075,12.5,6.4,5.5,1200,14400,238,BTL,Refinance and Hold,76,Low,Good,In Progress,Stagnant listing converted to deal.
DA009,PL009,2024-01-20,98000,118000,16.9,14000,Light,2200,0,650,5000,0.85,2995,122845,135000,135000,12155,12155,9.9,8.5,7.6,695,8340,205,BTL,Long-Term Hold,79,Low,Strong,Analysed,Good yield Nottingham terrace.
DA010,PL010,2024-01-22,62000,75000,17.3,6000,Cosmetic,1600,0,400,3200,0.82,1995,75195,88000,88000,12805,12805,17.0,12.2,11.0,630,7560,260,BTL,Long-Term Hold,82,Medium,Strong,Analysed,Flat probate. Very high yield.
DA011,PL011,2024-01-24,125000,148000,15.5,18000,Light,2500,0,750,6800,0.86,3995,157045,168000,175000,10955,17955,11.4,6.9,6.1,895,10740,228,BTL,Refinance and Hold,77,Low,Good,In Progress,Wakefield semi. Relocation deal.
DA012,PL012,2024-01-26,92000,112000,17.9,12000,Light,2000,0,600,4800,0.84,2995,114395,130000,130000,15605,15605,13.6,9.9,8.8,755,9060,260,BTL,Long-Term Hold,83,Low,Strong,Analysed,Liverpool terrace. Strong yield.
DA013,PL013,2024-01-27,115000,138000,16.7,20000,Medium,2500,0,750,6200,0.87,2995,147445,158000,168000,10555,20555,13.9,7.5,6.6,850,10200,205,BTL,Refinance and Hold,80,Low,Strong,Under Offer,Derby end-terrace. Good numbers.
DA014,PL014,2024-01-29,272000,320000,15.0,48000,Heavy,5500,10900,1500,18000,0.92,5995,361895,365000,400000,3105,38105,10.5,4.5,3.8,1800,21600,185,Flip,Sell After Refurb,65,High,Average,Analysed,Large probate needs full refurb.
DA015,PL015,2024-01-30,72000,88000,18.2,9500,Light,1800,0,500,3800,0.83,1995,89595,102000,102000,12405,12405,13.8,11.2,10.1,640,7680,245,BTL,Long-Term Hold,84,Low,Strong,In Progress,Rotherham repossession. Great yield.
DA016,PL016,2024-02-01,138000,165000,16.4,22000,Medium,3000,780,850,8000,0.88,3995,176625,188000,205000,11375,28375,16.1,6.7,5.9,1050,12600,268,BTL,Refinance and Hold,79,Low,Strong,Analysed,Birmingham semi. Relocation discount.
DA017,PL017,2024-02-03,68000,82000,17.1,7500,Cosmetic,1600,0,450,3500,0.84,1995,83045,96000,96000,12955,12955,15.6,11.6,10.5,620,7440,248,BTL,Long-Term Hold,85,Low,Excellent,Analysed,Leeds back-to-back. Phenomenal yield.
DA018,PL018,2024-02-05,96000,115000,16.5,14000,Light,2000,0,650,5200,0.86,2995,120845,132000,140000,11155,19155,15.8,8.9,8.0,810,9720,238,BTL,Refinance and Hold,81,Low,Strong,In Progress,Manchester flat divorce deal.
DA019,PL019,2024-02-07,80000,98000,18.4,12000,Light,1800,0,550,4200,0.84,1995,100545,115000,115000,14455,14455,14.4,11.0,9.9,720,8640,255,BTL,Long-Term Hold,83,Low,Strong,Analysed,Hull probate. Hull yield improving.
DA020,PL020,2024-02-08,132000,158000,16.5,20000,Medium,2800,580,850,7500,0.88,3995,167725,180000,195000,12275,27275,16.3,7.0,6.2,980,11760,262,BTL,Refinance and Hold,80,Low,Strong,In Progress,Coventry semi debt seller.
DA021,PL021,2024-02-10,182000,210000,13.3,24000,Medium,3500,3640,950,10500,0.91,5995,230585,235000,260000,4415,29415,12.8,5.8,5.0,1300,15600,210,Flip,Sell After Refurb,70,Medium,Good,Analysed,Chester repossession needs work.
DA022,PL022,2024-02-12,85000,102000,16.7,10000,Light,1800,0,550,4800,0.85,2995,105145,118000,118000,12855,12855,12.2,9.9,8.8,690,8280,215,BTL,Long-Term Hold,82,Low,Strong,Analysed,Preston probate. Healthy yield.
DA023,PL023,2024-02-14,145000,170000,14.7,20000,Medium,2800,580,850,8500,0.89,4995,182725,195000,210000,12275,27275,14.9,6.8,5.9,1050,12600,260,BTL,Refinance and Hold,78,Low,Strong,In Progress,Leicester semi relocation deal.
DA024,PL024,2024-02-16,228000,270000,15.6,32000,Heavy,4200,6900,1200,14500,0.92,5995,293295,305000,340000,11705,46705,15.9,5.4,4.6,1650,19800,278,Flip,Sell After Refurb,73,Medium,Good,Analysed,Stockport probate large semi.
DA025,PL025,2024-02-18,68000,82000,17.1,8000,Cosmetic,1600,0,450,3800,0.84,1995,83845,96000,96000,12155,12155,14.5,11.5,10.4,610,7320,225,BTL,Long-Term Hold,84,Low,Strong,Analysed,Darnall repossession terrace.
DA026,PL026,2024-02-20,102000,125000,18.4,16000,Light,2200,0,650,5600,0.86,2995,129445,140000,148000,10555,18555,14.3,8.4,7.5,750,9000,200,BTL,Refinance and Hold,79,Low,Strong,Under Offer,Barnsley divorce terrace deal.
DA027,PL027,2024-02-22,175000,205000,14.6,25000,Medium,3200,2300,950,10200,0.91,4995,221645,235000,250000,13355,28355,12.8,6.5,5.7,1280,15360,295,BTL,Refinance and Hold,77,Low,Good,Analysed,Derby detached probate.
DA028,PL028,2024-02-24,58000,72000,19.4,6000,Cosmetic,1400,0,400,3200,0.82,1995,72995,86000,86000,13005,13005,17.8,13.1,11.8,600,7200,245,BTL,Long-Term Hold,86,Low,Excellent,Analysed,Hull back-to-back repossession.
DA029,PL029,2024-02-26,112000,135000,17.0,16000,Light,2500,0,700,6000,0.86,3995,141195,152000,160000,10805,16805,11.9,7.6,6.7,800,9600,200,BTL,Refinance and Hold,80,Low,Strong,In Progress,Nottingham terrace relocation.
DA030,PL030,2024-02-28,88000,106000,17.0,12000,Light,2000,0,600,4800,0.84,2995,110395,125000,125000,14605,14605,13.2,10.4,9.3,710,8520,242,BTL,Long-Term Hold,83,Low,Strong,Analysed,Wakefield repossession terrace.
DA031,PL031,2024-03-01,248000,290000,14.5,38000,Heavy,4500,8900,1300,16000,0.92,5995,322695,335000,370000,12305,47305,14.7,5.3,4.5,1750,21000,245,Flip,Sell After Refurb,69,Medium,Good,Analysed,Sharrow Lane refurb project.
DA032,PL032,2024-03-03,78000,95000,17.9,9000,Light,1800,0,500,4200,0.83,1995,97495,112000,112000,14505,14505,14.9,11.9,10.7,660,7920,245,BTL,Long-Term Hold,85,Low,Excellent,Analysed,Grimsby repossession great yield.
DA033,PL033,2024-03-05,165000,192000,14.1,22000,Medium,3000,1580,850,9500,0.90,4995,206925,218000,240000,11075,33075,16.0,6.9,6.1,1180,14160,268,BTL,Refinance and Hold,79,Low,Strong,In Progress,Mansfield semi divorce deal.
DA034,PL034,2024-03-07,95000,115000,17.4,14000,Light,2000,0,650,5200,0.85,2995,119845,132000,140000,12155,20155,16.8,9.2,8.3,775,9300,255,BTL,Refinance and Hold,82,Low,Strong,Analysed,Middlesbrough repossession terrace.
DA035,PL035,2024-03-09,72000,88000,18.2,8000,Cosmetic,1600,0,500,4000,0.84,1995,88095,102000,102000,13905,13905,15.8,12.1,10.9,640,7680,250,BTL,Long-Term Hold,84,Low,Excellent,Analysed,Doncaster probate high yield.
DA036,PL036,2024-03-11,188000,220000,14.5,28000,Medium,3500,3640,1000,11000,0.91,5995,242135,255000,280000,12865,37865,15.6,6.0,5.2,1350,16200,248,BTL,Refinance and Hold,75,Medium,Good,Analysed,Sheffield divorce detached.
DA037,PL037,2024-03-13,128000,152000,15.8,18000,Light,2500,0,750,7200,0.87,3995,160445,172000,185000,11555,24555,15.3,7.4,6.6,920,11040,248,BTL,Refinance and Hold,79,Low,Strong,Under Offer,Bolton probate semi.
DA038,PL038,2024-03-15,148000,175000,15.4,20000,Medium,2800,580,850,8500,0.89,4995,185725,198000,215000,12275,27275,14.7,7.0,6.2,1050,12600,270,BTL,Refinance and Hold,78,Low,Strong,In Progress,Blackburn repossession.
DA039,PL039,2024-03-17,62000,78000,20.5,7000,Cosmetic,1400,0,450,3600,0.82,1995,78445,92000,92000,13555,13555,17.3,12.7,11.4,580,6960,235,BTL,Long-Term Hold,87,Low,Excellent,Analysed,Wigan terrace probate. Exceptional.
DA040,PL040,2024-03-19,105000,128000,18.0,15000,Light,2200,0,650,5800,0.86,2995,131645,142000,150000,10355,18355,13.9,8.0,7.1,740,8880,195,BTL,Refinance and Hold,80,Low,Strong,Analysed,Lincoln divorce terraced.
DA041,PL041,2024-03-21,175000,205000,14.6,24000,Medium,3200,2300,950,10200,0.91,5995,222645,235000,255000,12355,32355,14.5,6.5,5.7,1250,15000,260,BTL,Refinance and Hold,76,Low,Good,Analysed,Rotherham semi repossession.
DA042,PL042,2024-03-23,138000,162000,14.8,20000,Medium,2800,580,850,7800,0.88,4995,175025,188000,205000,12975,32975,18.8,7.1,6.3,1020,12240,280,BTL,Refinance and Hold,81,Low,Strong,In Progress,Huddersfield debt sale semi.
DA043,PL043,2024-03-25,92000,110000,16.4,12000,Light,2000,0,600,5000,0.85,2995,114595,128000,128000,13405,13405,11.7,9.8,8.7,720,8640,220,BTL,Long-Term Hold,82,Low,Strong,Analysed,Sheffield 2-bed probate terrace.
DA044,PL044,2024-03-27,76000,92000,17.4,9000,Cosmetic,1800,0,500,4000,0.83,1995,94295,108000,108000,13705,13705,14.5,11.9,10.7,640,7680,235,BTL,Long-Term Hold,84,Low,Strong,Analysed,Chesterfield repossession.
DA045,PL045,2024-03-29,162000,190000,14.7,22000,Medium,3000,1580,850,9500,0.90,4995,203925,215000,235000,11075,31075,15.3,6.9,6.1,1160,13920,278,BTL,Refinance and Hold,78,Low,Strong,Under Offer,Barnsley semi relocation.
DA046,PL046,2024-03-31,108000,130000,16.9,16000,Light,2200,0,700,6000,0.87,3995,136895,148000,158000,11105,19105,14.0,8.1,7.2,790,9480,220,BTL,Refinance and Hold,80,Low,Strong,Analysed,Wakefield repossession terrace.
DA047,PL047,2024-04-02,198000,230000,13.9,28000,Medium,3800,4480,1050,11800,0.91,5995,253125,268000,290000,14875,42875,16.9,6.0,5.2,1420,17040,285,BTL,Refinance and Hold,76,Low,Good,In Progress,Alfreton detached divorce.
DA048,PL048,2024-04-04,82000,100000,18.0,10000,Light,1800,0,550,4600,0.84,1995,100945,114000,114000,13055,13055,12.9,10.8,9.7,680,8160,220,BTL,Long-Term Hold,83,Low,Strong,Analysed,Hull repossession terraced.
DA049,PL049,2024-04-06,155000,182000,14.8,22000,Medium,3000,1080,850,9000,0.90,4995,195925,208000,225000,12075,30075,15.3,6.7,5.9,1080,12960,245,BTL,Refinance and Hold,78,Low,Strong,Analysed,Nottingham semi relocation.
DA050,PL050,2024-04-08,128000,150000,14.7,18000,Light,2500,0,750,7200,0.87,3995,160445,172000,185000,11555,24555,15.3,7.5,6.6,925,11100,248,BTL,Refinance and Hold,79,Low,Strong,Under Offer,Swinton probate terrace.
DA051,PL051,2024-04-10,88000,106000,17.0,12000,Light,2000,0,600,4800,0.84,2995,110395,125000,125000,14605,14605,13.2,10.4,9.3,710,8520,242,BTL,Long-Term Hold,82,Low,Strong,Analysed,Grimsby repossession terrace.
DA052,PL052,2024-04-12,185000,215000,14.0,26000,Medium,3400,3180,950,10800,0.91,5995,235325,248000,270000,12675,35675,15.1,6.2,5.3,1350,16200,275,Flip,Sell After Refurb,72,Medium,Good,Analysed,Sheffield high-end refurb.
DA053,PL053,2024-04-14,72000,88000,18.2,8500,Cosmetic,1600,0,500,4000,0.83,1995,88595,102000,102000,13405,13405,15.1,11.5,10.3,630,7560,235,BTL,Long-Term Hold,84,Low,Strong,Analysed,Barnsley repossession gem.
DA054,PL054,2024-04-16,142000,168000,15.5,20000,Medium,2800,580,850,8200,0.89,4995,179425,192000,208000,12575,28575,15.9,7.0,6.2,1010,12120,260,BTL,Refinance and Hold,80,Low,Strong,In Progress,Doncaster debt sale.
DA055,PL055,2024-04-18,98000,120000,18.3,15000,Light,2000,0,650,5400,0.86,2995,124045,136000,145000,11955,20955,16.9,8.8,7.9,760,9120,235,BTL,Refinance and Hold,82,Low,Strong,Analysed,Bolton repossession.
DA056,PL056,2024-04-20,168000,195000,13.8,22000,Medium,3000,1580,850,9800,0.90,4995,210225,222000,245000,11775,34775,16.6,6.8,6.0,1220,14640,285,BTL,Refinance and Hold,78,Low,Strong,In Progress,York probate semi.
DA057,PL057,2024-04-22,82000,100000,18.0,10000,Light,1800,0,550,4600,0.84,1995,100945,115000,115000,14055,14055,13.9,10.8,9.7,680,8160,220,BTL,Long-Term Hold,83,Low,Strong,Analysed,Lincoln repossession terrace.
DA058,PL058,2024-04-24,202000,235000,14.0,30000,Medium,3800,4480,1100,12000,0.92,5995,259375,275000,300000,15625,40625,15.7,5.8,5.0,1450,17400,260,Flip,Sell After Refurb,71,Medium,Good,Analysed,Alfreton detached divorce.
DA059,PL059,2024-04-26,65000,80000,18.8,7500,Cosmetic,1400,0,450,3600,0.82,1995,80945,95000,95000,14055,14055,17.4,12.3,11.0,600,7200,235,BTL,Long-Term Hold,86,Low,Excellent,Analysed,Rotherham repossession back-to-back.
DA060,PL060,2024-04-28,148000,172000,14.0,20000,Medium,2800,580,850,8500,0.89,4995,185725,198000,215000,12275,27275,14.7,7.0,6.2,1050,12600,270,BTL,Refinance and Hold,77,Low,Good,Under Offer,Leicester debt sale.
DA061,PL061,2024-04-30,118000,140000,15.7,16000,Light,2500,0,700,6500,0.87,3995,147695,160000,170000,12305,22305,15.1,8.0,7.1,860,10320,245,BTL,Refinance and Hold,80,Low,Strong,Analysed,Sheffield divorce terrace.
DA062,PL062,2024-05-02,78000,95000,17.9,9000,Cosmetic,1800,0,500,4200,0.84,1995,97495,110000,110000,12505,12505,12.8,11.0,9.9,650,7800,220,BTL,Long-Term Hold,83,Low,Strong,Analysed,Wakefield probate gem.
DA063,PL063,2024-05-04,192000,225000,14.7,28000,Medium,3600,3640,1000,11200,0.91,5995,246435,260000,285000,13565,38565,15.6,5.9,5.1,1380,16560,255,BTL,Refinance and Hold,74,Medium,Good,Analysed,Sheffield relocation semi.
DA064,PL064,2024-05-06,102000,125000,18.4,14000,Light,2200,0,650,5600,0.86,2995,127445,140000,148000,12555,20555,16.1,8.7,7.8,795,9540,235,BTL,Refinance and Hold,81,Low,Strong,Under Offer,Derby repossession.
DA065,PL065,2024-05-08,135000,160000,15.6,18000,Light,2800,580,750,7800,0.88,3995,168925,182000,195000,13075,26075,15.4,7.5,6.6,980,11760,258,BTL,Refinance and Hold,79,Low,Strong,Analysed,Chesterfield repossession.
DA066,PL066,2024-05-10,225000,260000,13.5,32000,Heavy,4200,6900,1200,14000,0.92,5995,290295,305000,335000,14705,44705,15.4,5.5,4.7,1600,19200,275,Flip,Sell After Refurb,70,Medium,Good,Analysed,Sheffield high-value flip.
DA067,PL067,2024-05-12,82000,100000,18.0,10000,Light,1800,0,550,4600,0.84,1995,100945,115000,115000,14055,14055,13.9,10.8,9.7,680,8160,220,BTL,Long-Term Hold,83,Low,Strong,Analysed,Hull repossession terraced.
DA068,PL068,2024-05-14,155000,182000,14.8,22000,Medium,3000,1080,850,9000,0.90,4995,195925,208000,225000,12075,30075,15.3,6.7,5.9,1080,12960,245,BTL,Refinance and Hold,78,Low,Strong,In Progress,Chesterfield repossession.
DA069,PL069,2024-05-16,138000,165000,16.4,20000,Medium,2800,580,850,8000,0.88,4995,175225,188000,205000,12775,32775,18.7,7.3,6.5,995,11940,265,BTL,Refinance and Hold,81,Low,Strong,Analysed,Sheffield divorce semi.
DA070,PL070,2024-05-18,92000,110000,16.4,12000,Light,2000,0,600,5000,0.85,2995,114595,128000,128000,13405,13405,11.7,9.8,8.7,720,8640,220,BTL,Long-Term Hold,82,Low,Strong,Analysed,Leeds repossession terrace.
DA071,PL071,2024-05-20,172000,200000,14.0,24000,Medium,3200,2300,950,10000,0.91,5995,218445,232000,255000,13555,36555,16.8,6.8,6.0,1250,15000,275,BTL,Refinance and Hold,77,Low,Good,In Progress,Sheffield probate semi.
DA072,PL072,2024-05-22,68000,82000,17.1,8000,Cosmetic,1600,0,450,3800,0.84,1995,83845,96000,96000,12155,12155,14.5,11.5,10.4,610,7320,225,BTL,Long-Term Hold,84,Low,Strong,Analysed,Rotherham repossession gem.
DA073,PL073,2024-05-24,128000,152000,15.8,18000,Light,2500,0,750,7200,0.87,3995,160445,172000,185000,11555,24555,15.3,7.4,6.6,920,11040,248,BTL,Refinance and Hold,79,Low,Strong,Under Offer,Nottingham repossession.
DA074,PL074,2024-05-26,182000,210000,13.3,24000,Medium,3500,3640,950,10500,0.91,5995,230585,235000,260000,4415,29415,12.8,5.8,5.0,1300,15600,210,Flip,Sell After Refurb,70,Medium,Good,Analysed,Doncaster detached flip.
DA075,PL075,2024-05-28,78000,95000,17.9,9000,Cosmetic,1800,0,500,4200,0.84,1995,97495,110000,110000,12505,12505,12.8,11.0,9.9,650,7800,220,BTL,Long-Term Hold,83,Low,Strong,Analysed,Wakefield repossession.
DA076,PL076,2024-05-30,158000,185000,14.6,22000,Medium,3000,1580,850,9200,0.90,4995,199625,212000,230000,12375,30375,15.2,6.7,5.9,1120,13440,255,BTL,Refinance and Hold,77,Low,Good,Analysed,Leicester divorce semi.
DA077,PL077,2024-06-01,108000,130000,16.9,16000,Light,2200,0,700,6000,0.87,3995,136895,148000,158000,11105,19105,14.0,8.1,7.2,790,9480,220,BTL,Refinance and Hold,80,Low,Strong,In Progress,Sheffield repossession terrace.
DA078,PL078,2024-06-03,88000,106000,17.0,10000,Light,2000,0,600,4800,0.84,2995,110395,125000,125000,14605,14605,13.2,10.4,9.3,710,8520,242,BTL,Long-Term Hold,83,Low,Strong,Analysed,Pontefract repossession gem.
DA079,PL079,2024-06-05,238000,280000,15.0,35000,Heavy,4200,6900,1200,15000,0.92,5995,306295,315000,340000,8705,33705,11.0,5.2,4.5,1600,19200,285,Flip,Sell After Refurb,74,Medium,Good,Analysed,Sheffield high-value conversion.
DA080,PL080,2024-06-07,65000,80000,18.8,7500,Cosmetic,1400,0,450,3600,0.82,1995,80945,95000,95000,14055,14055,17.4,12.3,11.0,600,7200,235,BTL,Long-Term Hold,86,Low,Excellent,Analysed,Doncaster back-to-back repossession.
DA081,PL081,2024-06-09,148000,172000,14.0,20000,Medium,2800,580,850,8500,0.89,4995,185725,198000,215000,12275,27275,14.7,7.0,6.2,1050,12600,270,BTL,Refinance and Hold,78,Low,Strong,Under Offer,Leicester relocation semi.
DA082,PL082,2024-06-11,92000,112000,17.9,12000,Light,2000,0,600,5000,0.85,2995,114595,130000,130000,15405,15405,13.5,9.9,8.8,740,8880,240,BTL,Long-Term Hold,83,Low,Strong,Analysed,Sheffield 2-bed repossession.
DA083,PL083,2024-06-13,138000,165000,16.4,20000,Medium,2800,580,850,8000,0.88,4995,175225,188000,205000,12775,32775,18.7,7.3,6.5,995,11940,265,BTL,Refinance and Hold,81,Low,Strong,In Progress,Worksop repossession semi.
DA084,PL084,2024-06-15,195000,228000,14.5,28000,Medium,3600,3640,1000,11400,0.91,5995,249635,262000,285000,12365,35365,14.2,5.8,5.0,1380,16560,245,Flip,Sell After Refurb,71,Medium,Good,Analysed,Sheffield detached probate.
DA085,PL085,2024-06-17,88000,106000,17.0,10000,Light,2000,0,600,4800,0.84,2995,110395,125000,125000,14605,14605,13.2,10.4,9.3,710,8520,242,BTL,Long-Term Hold,82,Low,Strong,Analysed,Grimsby repossession gem.
DA086,PL086,2024-06-19,128000,150000,14.7,18000,Light,2500,0,750,7200,0.87,3995,160445,172000,185000,11555,24555,15.3,7.5,6.6,925,11100,248,BTL,Refinance and Hold,80,Low,Strong,Under Offer,Coventry repossession.
DA087,PL087,2024-06-21,72000,88000,18.2,8500,Cosmetic,1600,0,500,4000,0.83,1995,88595,102000,102000,13405,13405,15.1,11.5,10.3,630,7560,235,BTL,Long-Term Hold,84,Low,Strong,Analysed,Rotherham repossession gem.
DA088,PL088,2024-06-23,168000,195000,13.8,22000,Medium,3000,1580,850,9800,0.90,4995,210225,222000,245000,11775,34775,16.6,6.8,6.0,1220,14640,285,BTL,Refinance and Hold,78,Low,Strong,In Progress,Nottingham repossession semi.
DA089,PL089,2024-06-25,82000,100000,18.0,10000,Light,1800,0,550,4600,0.84,1995,100945,115000,115000,14055,14055,13.9,10.8,9.7,680,8160,220,BTL,Long-Term Hold,83,Low,Strong,Analysed,Hull repossession terraced.
DA090,PL090,2024-06-27,198000,230000,13.9,28000,Medium,3800,4480,1050,11800,0.91,5995,253125,268000,290000,14875,42875,16.9,6.0,5.2,1420,17040,285,BTL,Refinance and Hold,76,Low,Good,Analysed,Chesterfield detached repossession.
DA091,PL091,2024-06-29,78000,95000,17.9,9000,Cosmetic,1800,0,500,4200,0.84,1995,97495,110000,110000,12505,12505,12.8,11.0,9.9,650,7800,220,BTL,Long-Term Hold,83,Low,Strong,Analysed,Wakefield probate gem.
DA092,PL092,2024-07-01,155000,182000,14.8,22000,Medium,3000,1080,850,9000,0.90,4995,195925,208000,225000,12075,30075,15.3,6.7,5.9,1080,12960,245,BTL,Refinance and Hold,78,Low,Strong,Under Offer,Sheffield repossession semi.
DA093,PL093,2024-07-03,112000,135000,17.0,16000,Light,2500,0,700,6200,0.87,3995,141395,152000,165000,10605,18605,13.2,8.0,7.1,840,10080,230,BTL,Refinance and Hold,80,Low,Strong,Analysed,Lincoln repossession terrace.
DA094,PL094,2024-07-05,172000,198000,13.1,24000,Medium,3200,2300,950,10000,0.91,5995,218445,232000,255000,13555,36555,16.8,6.8,6.0,1250,15000,275,BTL,Refinance and Hold,77,Low,Good,In Progress,Sheffield repossession semi.
